开奖日期	                开奖号码
2020-06-03(三)	[02 09 16 23 27 03 08]
2020-06-01(一)	[01 03 22 28 30 02 05]
2020-05-30(六)	[12 13 17 31 32 01 06]
2020-05-27(三)	[03 04 05 11 22 05 06]
2020-05-25(一)	[07 13 20 29 34 04 07]
2020-05-23(六)	[02 17 20 28 29 01 07]
2020-05-20(三)	[01 05 15 22 31 02 09]
2020-05-18(一)	[04 15 20 22 24 01 09]
2020-05-16(六)	[01 04 10 11 14 02 05]
2020-05-13(三)	[01 05 11 12 26 02 07]
2020-05-11(一)	[10 11 22 26 28 02 04]
2020-05-09(六)	[11 13 20 27 31 02 04]
2020-05-06(三)	[07 19 20 31 34 05 08]
2020-05-04(一)	[02 03 09 16 32 03 04]
2020-05-02(六)	[01 02 05 15 21 04 05]
2020-04-29(三)	[01 08 17 27 30 05 06]
2020-04-27(一)	[11 14 17 22 30 07 09]
2020-04-25(六)	[04 05 28 34 35 01 08]
2020-04-22(三)	[04 07 20 25 32 03 09]
2020-04-20(一)	[03 15 26 32 34 08 12]
2020-04-18(六)	[02 14 21 22 26 05 07]
2020-04-15(三)	[03 05 06 24 30 03 07]
2020-04-13(一)	[04 11 23 26 30 01 06]
2020-04-11(六)	[04 14 20 28 35 02 03]
2020-04-08(三)	[10 12 24 31 33 04 09]
2020-04-06(一)	[08 10 12 26 32 05 09]
2020-04-04(六)	[01 12 22 23 33 01 12]
2020-04-01(三)	[09 14 16 24 26 04 12]
2020-03-30(一)	[01 06 07 09 10 02 11]
2020-03-28(六)	[04 08 19 31 35 01 02]
2020-03-25(三)	[01 07 23 24 26 03 07]
2020-03-23(一)	[03 07 09 17 21 03 06]
2020-03-21(六)	[01 04 05 11 35 03 09]
2020-03-18(三)	[01 06 18 32 34 01 03]
2020-03-16(一)	[02 13 19 22 23 02 07]
2020-03-14(六)	[01 08 13 24 32 02 09]
2020-01-20(一)	[19 29 31 34 35 06 10]
2020-01-18(六)	[14 17 19 24 32 01 06]
2020-01-15(三)	[02 10 19 24 30 05 08]
2020-01-13(一)	[09 22 25 31 32 08 12]
2020-01-11(六)	[06 10 33 34 35 01 03]
2020-01-08(三)	[17 20 21 29 30 05 09]
2020-01-06(一)	[23 25 26 30 34 03 07]
2020-01-04(六)	[03 07 18 25 30 02 07]
2020-01-01(三)	[17 25 26 32 34 04 07]
2019-12-30(一)	[07 11 12 16 33 05 07]
2019-12-28(六)	[01 02 07 33 35 06 10]
2019-12-25(三)	[03 04 07 11 30 08 09]
2019-12-23(一)	[09 12 19 22 33 07 08]
2019-12-21(六)	[10 11 26 33 34 01 06]
2019-12-18(三)	[05 09 19 22 32 03 05]
2019-12-16(一)	[02 05 20 28 31 02 11]
2019-12-14(六)	[04 22 23 24 32 06 12]
2019-12-11(三)	[03 04 26 29 33 06 07]
2019-12-09(一)	[02 10 20 21 35 01 12]
2019-12-07(六)	[03 07 08 25 27 03 05]
2019-12-04(三)	[01 05 07 08 11 06 10]
2019-12-02(一)	[04 06 07 20 29 02 04]
2019-11-30(六)	[03 05 12 13 26 07 12]
2019-11-27(三)	[03 16 20 26 29 03 09]
2019-11-25(一)	[04 05 19 25 26 01 11]
2019-11-23(六)	[05 06 07 14 17 10 11]
2019-11-20(三)	[03 12 24 27 34 01 12]
2019-11-18(一)	[03 05 06 13 18 10 12]
2019-11-16(六)	[05 06 14 27 29 06 10]
